Id,SalePrice
1461,125921.01440013158
1462,146193.5358728474
1463,176676.17910995282
1464,182289.285356751
1465,222765.08443014175
1466,182071.53402451577
1467,153672.43803613118
1468,163900.04272877483
1469,191605.43327324424
1470,124632.35022300873
1471,198288.27457321592
1472,113764.094149626
1473,115323.71320808041
1474,146770.1104740129
1475,178127.1279615124
1476,370195.7155888253
1477,260264.91778917212
1478,299675.72990551236
1479,280004.77370686934
1480,414545.37930311565
1481,315164.3655233295
1482,220444.52938929445
1483,159854.9126195638
1484,191909.37172922457
1485,188515.45927397814
1486,191870.0678709725
1487,324824.08414423506
1488,245073.13954783374
1489,198227.00834274828
1490,168387.54052083805
1491,195661.77530785088
1492,102728.16800371362
1493,187020.5964866704
1494,304757.265112956
1495,307076.0399862051
1496,212526.02225042364
1497,193938.21424999097
1498,165620.95151226866
1499,165620.95151226866
1500,134386.8944488484
1501,165549.88837777113
1502,190789.76093393445
1503,284148.45805270463
1504,244809.6986451466
1505,209981.47325489257
1506,173391.20933808794
1507,186539.30579574124
1508,186170.897959198
1509,161796.20960244833
1510,144514.5668063644
1511,144165.8766556471
1512,158605.67504845746
1513,155970.8841176064
1514,172063.55641424906
1515,161392.01288999766
1516,165737.73454691752
1517,145633.62377673225
1518,135676.66337317773
1519,214987.2285164377
1520,143208.9032055587
1521,143572.0994831077
1522,162452.37617862358
1523,119425.15695213639
1524,120383.8524092222
1525,128173.14190381432
1526,130938.24645856726
1527,113636.99938633833
1528,122251.15272884545
1529,142905.40143834695
1530,155042.0886347351
1531,137297.52369550965
1532,121630.09158952838
1533,140144.30809109323
1534,117848.66592939779
1535,154222.8430887648
1536,128228.5308461911
1537,99628.20328525589
1538,219387.84246092086
1539,296171.1340111477
1540,144792.8181487793
1541,140167.86010827927
1542,149580.12346529172
1543,239731.88965225435
1544,99651.81588291822
1545,116240.12517558542
1546,116916.343712453
1547,133421.9974673236
1548,136857.64795331325
1549,114618.67474545092
1550,139990.94612448022
1551,130107.17063588966
1552,142663.2441844306
1553,164386.25434612884
1554,119011.62347207025
1555,158928.60714000952
1556,101577.7631378332
1557,131351.97960912925
1558,104579.24855491251
1559,148476.2622812416
1560,149480.43273476177
1561,155200.370486773
1562,123177.34666245869
1563,125562.52233876166
1564,149794.94768996479
1565,139598.3440688464
1566,200873.9734677921
1567,97593.0807130289
1568,200426.4700267097
1569,157599.43553136426
1570,119966.92560325988
1571,138477.857424227
1572,140042.95212392538
1573,220526.91126360453
1574,132590.6568282534
1575,206833.84990168456
1576,188409.2610659033
1577,197559.91352809942
1578,152988.27124369162
1579,130179.91599627823
1580,197182.73676033344
1581,135637.26889573585
1582,126403.26953736307
1583,334410.5401890469
1584,257243.85816040757
1585,131328.50739998612
1586,96906.13334685886
1587,114607.1493964445
1588,143120.07391741264
1589,103581.76981900106
1590,136948.241928923
1591,120459.45600132966
1592,128635.97058146905
1593,121595.83264523512
1594,152876.28881959373
1595,151387.85178066767
1596,248527.20134685177
1597,151115.12628957554
1598,190017.49524834676
1599,227071.69545092178
1600,221303.3599583405
1601,111620.22932410896
1602,116377.43541206505
1603,114511.24296008119
1604,296149.2079419939
